<<<<<<< HEAD
Unique Applicant ID ,Outcomes, Age, Years at Employer,Years at Address,Income,Credit Card Debt ,Automobile Debt
1,0,-0.26,0.11,-0.78,-0.22,-0.01,0.21
2,1,-0.01,0.5,1.14,0.36,-3.18,-1.51
3,1,0.37,0.57,-1.12,0.26,-2.11,-0.21
4,0,-0.73,-1.07,1.71,-0.6,0.51,0.53
5,0,-0.25,-0.17,-0.88,-0.49,0.53,0.8
6,1,0.57,-0.6,2.02,3.63,-3.38,-6.56
7,0,1.48,1.22,0.35,0.54,-0.33,-0.29
8,0,0.89,1.08,3.27,1.45,-0.54,0.61
9,0,1.48,0.49,-0.18,0.14,-1.09,-1.59
10,0,-0.9,0.13,-0.49,-0.32,0.35,0.37
11,1,0.07,-1.12,-0.01,-0.59,-0.18,0.5
12,0,-1.06,-0.65,-0.28,-0.27,0.77,0.63
13,1,-0.28,-0.18,3.43,-0.28,0.48,0.59
14,0,1.73,2.03,-1.19,1.43,-1.3,-0.35
15,0,2.09,2.66,-0.38,2.44,0.37,-3.7
16,0,-0.41,-0.11,-0.69,-0.14,0.74,-0.62
17,0,-0.9,-0.13,-0.84,-0.26,0.75,0.7
18,1,-1.11,-0.87,-0.51,-0.64,0.27,0.02
19,0,-0.39,0.74,0.42,0.4,-1.11,0.43
20,0,1.1,-0.89,-0.8,-0.59,0.74,0.74
21,0,-0.43,-0.73,-1.22,-0.75,0.83,0.77
22,0,0.33,1.83,2,0.92,-1.98,-1.6
23,0,0.89,0.86,1.95,0.15,0.45,0.35
24,0,1.39,2.53,-0.77,0.31,0.33,-2.01
25,1,1.8,-0.6,-0.18,-0.4,0.51,0.39
26,0,-1.16,0.1,-0.68,-0.44,0.53,0.31
27,0,0.61,-0.64,1.56,0.52,0.38,0.68
28,0,-0.47,-1.19,1.68,-0.61,0.83,0.79
29,0,0.6,-1.1,-1.22,-0.59,0.67,0.44
30,0,-0.25,-0.74,-0.1,-0.63,0.71,0.41
31,1,0.58,-0.92,0.61,-0.75,-0.15,0.4
32,0,1.76,0.45,0.64,0.61,0.32,-0.54
33,0,0.08,0.03,0.67,-0.41,0.59,1.02
34,0,-0.89,-0.11,-1.17,-0.56,0.82,0.72
35,0,0.9,0.54,-0.09,0.75,0.05,-1.71
36,0,1,-1.14,0.44,0.33,0.71,-0.08
37,0,-0.75,-0.51,-0.8,-0.66,0.51,1.02
38,0,1.83,0.96,0.03,0.67,-0.51,0.56
39,1,-0.99,-1.16,1.22,-0.72,-0.61,-0.2
40,0,-0.82,0.42,-0.84,-0.28,0.03,0.33
